State/UT,Total Literacy,Percentage with basic sanitation service
Chandigarh,84.45,85.0
Delhi,86.95,81.1
Haryana,85.6,85.0
Himachal Pradesh,91.75,81.7
Jammu & Kashmir,82.25,75.7
Ladakh,83.65,42.3
Punjab,83.1,86.6
Rajasthan,76.80000000000001,71.1
Uttarakhand,84.55,78.7
Chhattisgarh,77.55,76.8
Madhya Pradesh,73.35,65.1
Uttar Pradesh,74.05,68.7
Bihar,65.7,49.4
Jharkhand,71.5,56.7
Odisha,77.05,60.5
West Bengal,76.55000000000001,68.0
Arunachal Pradesh,78.5,82.9
Assam,78.35,68.5
Manipur,89.3,64.9
Meghalaya,85.4,82.9
Mizoram,95.5,95.3
Nagaland,87.80000000000001,87.7
Sikkim,87.85,87.3
Tripura,80.94999999999999,73.6
Dadra & Nagar Haveli and Daman & Diu,84.05,65.8
Goa,93.25,87.9
Gujarat,80.35,74.0
Maharashtra,86.25,72.0
Andaman & Nicobar Islands,84.35,88.0
Andhra Pradesh,71.6,77.3
Karnataka,79.30000000000001,74.8
Kerala,97.25,98.7
Lakshadweep,96.9,99.8
Puducherry,91.75,84.9
Tamil Nadu,87.35,72.6
Telangana,73.4,76.2
