State/UT,Total Literacy
Chandigarh,84.45
Delhi,86.95
Haryana,85.6
Himachal Pradesh,91.75
Jammu & Kashmir,82.25
Ladakh,83.65
Punjab,83.1
Rajasthan,76.80000000000001
Uttarakhand,84.55
Chhattisgarh,77.55
Madhya Pradesh,73.35
Uttar Pradesh,74.05
Bihar,65.7
Jharkhand,71.5
Odisha,77.05
West Bengal,76.55000000000001
Arunachal Pradesh,78.5
Assam,78.35
Manipur,89.3
Meghalaya,85.4
Mizoram,95.5
Nagaland,87.80000000000001
Sikkim,87.85
Tripura,80.94999999999999
Dadra & Nagar Haveli and Daman & Diu,84.05
Goa,93.25
Gujarat,80.35
Maharashtra,86.25
Andaman & Nicobar Islands,84.35
Andhra Pradesh,71.6
Karnataka,79.30000000000001
Kerala,97.25
Lakshadweep,96.9
Puducherry,91.75
Tamil Nadu,87.35
Telangana,73.4
