State/UT,Percentage with basic sanitation service
Chandigarh,85.0
Delhi,81.1
Haryana,85.0
Himachal Pradesh,81.7
Jammu & Kashmir,75.7
Ladakh,42.3
Punjab,86.6
Rajasthan,71.1
Uttarakhand,78.7
Central,
Chhattisgarh,76.8
Madhya Pradesh,65.1
Uttar Pradesh,68.7
East,
Bihar,49.4
Jharkhand,56.7
Odisha,60.5
West Bengal,68.0
Northeast,
Arunachal Pradesh,82.9
Assam,68.5
Manipur,64.9
Meghalaya,82.9
Mizoram,95.3
Nagaland,87.7
Sikkim,87.3
Tripura,73.6
West,
Dadra & Nagar Haveli and Daman & Diu,65.8
Goa,87.9
Gujarat,74.0
Maharashtra,72.0
South,
Andaman & Nicobar Islands,88.0
Andhra Pradesh,77.3
Karnataka,74.8
Kerala,98.7
Lakshadweep,99.8
Puducherry,84.9
Tamil Nadu,72.6
Telangana,76.2
